value,power
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1706878815998505681-sample.jpg,1.7553091124999998
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1706882416995188922-sample.jpg,130.8707895375
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1706886082571512700-sample.jpg,275.48218171875
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1706893305571047686-sample.jpg,900.31982421875
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1706896815731729126-sample.jpg,724.61669921875
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1706900415860531281-sample.jpg,652.791015625
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1706904099664703530-sample.jpg,542.20703125
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1706907617809692946-sample.jpg,471.36474609375
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1706911214742455656-sample.jpg,207.388914
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1706914861955832217-sample.jpg,36.77148471
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1706965253500063667-sample.jpg,8.6905212925
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1706968811099374137-sample.jpg,688.0732421875
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1706972451656905443-sample.jpg,811.73828125
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1706976022763998016-sample.jpg,680.697265625
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1706979643755864135-sample.jpg,625.6335495375
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1706983234304253177-sample.jpg,499.11181640625
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1706986834311766999-sample.jpg,441.4306640625
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1706990471829021847-sample.jpg,396.588871575
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1706994045367391673-sample.jpg,378.19921875
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1706997680215405437-sample.jpg,359.5546875
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1707051616593348295-sample.jpg,21.08294685875
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1707062474507813337-sample.jpg,641.9707075499999
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1707066016808258772-sample.jpg,579.2077682624999
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1707069616855323689-sample.jpg,465.57421875
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1707073216114141909-sample.jpg,428.654296875
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1707076817130312272-sample.jpg,372.7014205375
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1707080416194717563-sample.jpg,365.8154296875
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1707084092569925499-sample.jpg,366.09375
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1707138011907938092-sample.jpg,17.682357826875
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1707141649445792184-sample.jpg,815.0581460000001
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1707145266444675637-sample.jpg,655.57421875
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1707152460387913113-sample.jpg,483.0087890625
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1707156012536775100-sample.jpg,398.81884765625
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1707159695630865236-sample.jpg,359.03027115000003
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1707166887192354687-sample.jpg,309.805295625
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1707170461242760012-sample.jpg,286.78638095625
/teamspace/studios/this_studio/storage.sagecontinuum.org/api/v1/data/imagesampler-top-1738/sage-imagesampler-top-0.3.0/000048b02d15bc6d/1707174050398250668-sample.jpg,143.7141694875
